"Severity","Type","Code","Source","Description","Sample Time","Run Hours"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/23/2020 6:47:59 PM","20627.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/23/2020 2:11:22 PM","20622.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/23/2020 1:08:38 PM","20621.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/23/2020 11:29:17 AM","20619.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 10:22:28 PM","20617.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 8:25:14 PM","20615.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 4:54:52 PM","20612.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 3:48:15 PM","20611.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 2:09:06 PM","20609.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 12:53:02 PM","20608.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 11:50:58 AM","20607.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/21/2020 10:39:12 AM","20606.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","9/21/2020 10:34:52 AM","20606.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","9/20/2020 9:45:23 PM","20604.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 7:31:40 AM","20604.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 5:56:03 AM","20602.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 4:49:55 AM","20601.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 3:48:50 AM","20600.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 2:39:34 AM","20599.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/20/2020 12:25:28 AM","20597.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/19/2020 6:56:49 PM","20591.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/19/2020 5:49:31 PM","20590.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/17/2020 11:49:32 PM","20559.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/17/2020 10:37:08 PM","20558.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/17/2020 9:19:13 AM","20548.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/17/2020 8:06:03 AM","20547.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/17/2020 6:45:18 AM","20545.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/16/2020 11:38:49 PM","20542.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/16/2020 10:38:12 PM","20541.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/16/2020 6:44:32 AM","20527.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/16/2020 5:36:18 AM","20526.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/15/2020 9:18:33 PM","20524.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/15/2020 8:18:11 PM","20523.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/14/2020 6:56:34 PM","20522.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/13/2020 10:38:27 PM","20519.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/13/2020 4:18:16 AM","20518.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","9/13/2020 4:16:25 AM","20518.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/12/2020 7:31:23 AM","20517.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/12/2020 4:52:49 AM","20514.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/12/2020 3:40:45 AM","20513.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/12/2020 2:34:55 AM","20512.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/12/2020 12:25:24 AM","20509.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/11/2020 10:20:44 PM","20507.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/11/2020 8:20:57 PM","20505.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/11/2020 6:58:50 PM","20504.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/11/2020 5:37:06 PM","20503.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/11/2020 3:53:06 PM","20501.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/10/2020 8:00:06 PM","20486.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/9/2020 6:13:11 AM","20448.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/9/2020 4:52:58 AM","20447.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/9/2020 3:47:43 AM","20446.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/9/2020 12:46:15 AM","20443.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/8/2020 11:05:07 PM","20441.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/8/2020 10:00:01 PM","20440.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/8/2020 8:45:48 PM","20439.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/8/2020 7:24:41 PM","20437.0"
